#{"t_start": 1765005134.2260592, "env_id": "None"}
r,l,t
10.9,1,20.292937
-10.1,1,20.310121
-7.1,1,20.314807
-0.202228,1,20.328614
-10.1,1,20.34527
10.9,1,20.357948
-10.1,1,20.372959
-7.1,1,20.385486
-10.1,1,20.401573
-0.203236,1,20.41827
10.9,1,20.433472
-7.1,1,20.437494
-10.1,1,20.453625
10.9,1,20.470808
-10.1,1,20.488194
10.9,1,20.5018
-10.1,1,20.517997
10.9,1,20.53644
10.9,1,20.559508
-7.1,1,20.563658
-0.213545,1,20.57964
10.9,1,20.597095
-10.1,1,20.615764
-10.1,1,20.63437
-10.1,1,20.651775
-7.1,1,20.667743
-10.1,1,20.683625
10.9,1,20.700726
-10.1,1,20.717332
-10.1,1,20.73032
-10.1,1,20.745259
10.9,1,20.76213
10.9,1,20.777698
-10.1,1,20.794097
10.9,1,20.808258
-10.1,1,20.824961
10.9,1,20.840163
-0.272202,1,20.855827
-7.1,1,20.858928
10.9,1,20.876212
10.9,1,20.894875
-10.1,1,20.91377
10.9,1,20.931512
10.9,1,20.950174
10.9,1,20.970837
-10.1,1,20.991617
-10.1,1,21.012238
-10.1,1,21.029305
10.9,1,21.046103
-10.1,1,21.059624
-10.1,1,21.074291
10.9,1,21.090868
-10.1,1,21.10785
-10.1,1,21.122056
10.9,1,21.136378
10.9,1,21.150085
-10.1,1,21.168398
-10.1,1,21.187282
10.9,1,21.203185
-0.093696,1,21.218804
-10.1,1,21.235328
-7.1,1,21.240441
-7.1,1,21.243439
-10.1,1,21.261718
-10.1,1,21.279863
10.9,1,21.298547
10.9,1,21.314088
10.9,1,21.328983
-10.1,1,21.344533
-10.1,1,21.362172
-10.1,1,21.379668
-10.1,1,21.395762
-10.1,1,21.414114
-10.1,1,21.428714
-10.1,1,21.445688
-10.1,1,21.462946
-0.222915,1,21.48136
10.9,1,21.495173
-10.1,1,21.512266
-0.169667,1,21.530852
10.9,1,21.545044
-7.1,1,21.561633
10.9,1,21.577781
10.9,1,21.597669
-10.1,1,21.614523
-10.1,1,21.636945
-0.356442,1,21.655589
-10.1,1,21.670904
10.9,1,21.692622
10.9,1,21.709549
10.9,1,21.727869
10.9,1,21.741754
10.9,1,21.763722
10.9,1,21.781331
-7.1,1,21.784233
10.9,1,21.805327
-0.140931,1,21.82234
10.9,1,21.841741
-10.1,1,21.854681
-10.1,1,21.873505
-0.288757,1,21.889192
-10.1,1,21.905704
10.9,1,21.923266
-10.1,1,21.938583
-0.20992,1,21.952165
-10.1,1,21.967935
-7.1,1,21.971945
-0.112435,1,21.986536
-10.1,1,22.000208
-7.1,1,22.013775
-10.1,1,22.025511
10.9,1,22.032624
-10.1,1,22.048114
10.9,1,22.048114
-0.281683,1,22.068352
-10.1,1,22.085885
10.9,1,22.096886
-10.1,1,22.109115
10.9,1,22.123867
10.9,1,22.133428
10.9,1,22.148083
10.9,1,22.148083
-10.1,1,22.173723
-0.232365,1,22.188477
10.9,1,22.20084
10.9,1,22.216225
-7.1,1,22.216225
-10.1,1,22.234109
-10.1,1,22.247269
-10.1,1,22.265721
-10.1,1,22.280876
-10.1,1,22.296193
-10.1,1,22.311451
10.9,1,22.323353
10.9,1,22.335924
-10.1,1,22.335924
10.9,1,22.349514
-10.1,1,22.369926
10.9,1,22.385464
-7.1,1,22.397431
10.9,1,22.408884
-10.1,1,22.422717
10.9,1,22.436455
-10.1,1,22.448583
10.9,1,22.464152
-10.1,1,22.478446
10.9,1,22.489265
-10.1,1,22.507694
10.9,1,22.520513
-10.1,1,22.530513
10.9,1,22.541743
10.9,1,22.553348
10.9,1,22.565837
-0.244088,1,22.576216
-10.1,1,22.587213
10.9,1,22.597214
10.9,1,22.599215
10.9,1,22.617176
-7.1,1,22.617176
-0.253757,1,22.632829
10.9,1,22.638362
10.9,1,22.649818
-10.1,1,22.661422
10.9,1,22.677259
10.9,1,22.686763
-10.1,1,22.698129
-10.1,1,22.71274
-10.1,1,22.716868
-10.1,1,22.742341
10.9,1,22.756486
10.9,1,22.76818
-7.1,1,22.778979
10.9,1,22.790659
10.9,1,22.803547
-10.1,1,22.818409
10.9,1,22.833534
10.9,1,22.853099
10.9,1,22.869453
-7.1,1,22.873899
-10.1,1,22.888462
-10.1,1,22.903794
-7.1,1,22.906794
10.9,1,22.922521
10.9,1,22.93555
-10.1,1,22.948919
10.9,1,22.96439
10.9,1,22.978656
-10.1,1,22.997539
-10.1,1,23.008807
10.9,1,23.015977
10.9,1,23.031879
-10.1,1,23.048603
10.9,1,23.061678
-7.1,1,23.065225
-10.1,1,23.079827
10.9,1,23.095881
-10.1,1,23.111806
-10.1,1,23.128468
-7.1,1,23.130473
10.9,1,23.146361
10.9,1,23.155983
-7.1,1,23.157987
-7.1,1,23.159992
-10.1,1,23.172586
10.9,1,23.184448
-10.1,1,23.197325
10.9,1,23.212754
10.9,1,23.227682
-10.1,1,23.232025
-7.1,1,23.232025
10.9,1,23.25499
-10.1,1,23.266236
-10.1,1,23.283329
10.9,1,23.298912
10.9,1,23.298912
10.9,1,23.327647
10.9,1,23.339429
-7.1,1,23.343531
-10.1,1,23.359193
-10.1,1,23.374483
10.9,1,23.389237
10.9,1,23.40489
10.9,1,23.420603
10.9,1,23.432912
-10.1,1,23.450182
-10.1,1,23.465586
-10.1,1,23.481511
10.9,1,23.492748
-10.1,1,23.506144
-10.1,1,23.51554
-10.1,1,23.51554
10.9,1,23.53299
-10.1,1,23.548926
10.9,1,23.548926
10.9,1,23.570518
-10.1,1,23.583501
10.9,1,23.593538
10.9,1,23.60513
-0.202236,1,23.615714
10.9,1,23.633886
10.9,1,23.649073
-10.1,1,23.649073
0.025872,1,23.672966
10.9,1,23.690334
-10.1,1,23.706396
-10.1,1,23.719423
-10.1,1,23.733539
-7.1,1,23.735548
-0.299384,1,23.750455
-10.1,1,23.762503
10.9,1,23.774487
-7.1,1,23.778504
10.9,1,23.792695
10.9,1,23.807455
-10.1,1,23.821849
-10.1,1,23.837381
10.9,1,23.851024
10.9,1,23.865947
10.9,1,23.88003
10.9,1,23.89552
-10.1,1,23.900595
10.9,1,23.920916
-10.1,1,23.934498
-10.1,1,23.946552
-10.1,1,23.950634
10.9,1,23.977961
10.9,1,23.994011
-10.1,1,24.008754
-10.1,1,24.025842
-0.253857,1,24.043941
10.9,1,24.055212
10.9,1,24.066213
-10.1,1,24.07838
0.05156,1,24.09743
-10.1,1,24.112454
10.9,1,24.124656
-0.252375,1,24.136061
10.9,1,24.146847
10.9,1,24.162837
10.9,1,24.177552
-7.1,1,24.180558
-10.1,1,24.193641
10.9,1,24.205906
-10.1,1,24.218312
-10.1,1,24.226525
-10.1,1,24.24373
-0.20581,1,24.254929
10.9,1,24.267221
0.08629,1,24.281478
10.9,1,24.295659
-7.1,1,24.299411
-7.1,1,24.303234
10.9,1,24.316176
10.9,1,24.329381
-7.1,1,24.332381
-10.1,1,24.349036
10.9,1,24.361594
-7.1,1,24.364594
-10.1,1,24.378806
-10.1,1,24.391741
0.068539,1,24.405144
10.9,1,24.418813
-7.1,1,24.421813
-10.1,1,24.434943
-10.1,1,24.447216
-10.1,1,24.453252
-10.1,1,24.466219
-7.1,1,24.482945
10.9,1,24.497432
-10.1,1,24.511334
10.9,1,24.522116
10.9,1,24.532928
-10.1,1,24.534146
10.9,1,24.549664
-10.1,1,24.567503
10.9,1,24.582967
-10.1,1,24.600787
-7.1,1,24.603297
-10.1,1,24.616509
10.9,1,24.628582
10.9,1,24.634467
10.9,1,24.654444
-10.1,1,24.665474
-10.1,1,24.678993
10.9,1,24.683158
10.9,1,24.700446
-7.1,1,24.700446
10.9,1,24.717637
10.9,1,24.735067
-7.1,1,24.747757
10.9,1,24.761411
10.9,1,24.773037
-10.1,1,24.78423
10.9,1,24.795359
-10.1,1,24.808443
-0.053094,1,24.821492
10.9,1,24.834307
-10.1,1,24.848382
-0.150246,1,24.858834
-7.1,1,24.860837
-0.219939,1,24.87213
-0.157389,1,24.885816
-0.250993,1,24.898292
10.9,1,24.912979
10.9,1,24.92577
10.9,1,24.940009
10.9,1,24.952853
-10.1,1,24.964907
-10.1,1,24.978123
10.9,1,24.994769
-10.1,1,25.011139
-10.1,1,25.026021
10.9,1,25.041876
-7.1,1,25.041876
-10.1,1,25.059589
10.9,1,25.076966
-10.1,1,25.094447
-10.1,1,25.113574
10.9,1,25.131027
-7.1,1,25.136098
-0.21391,1,25.155803
-10.1,1,25.177288
10.9,1,25.188809
-7.1,1,25.197918
-10.1,1,25.214061
-10.1,1,25.229099
-10.1,1,25.241547
10.9,1,25.259297
-10.1,1,25.27484
-10.1,1,25.289398
-0.19593,1,25.302309
-10.1,1,25.318581
10.9,1,25.333514
-10.1,1,25.350227
-10.1,1,25.366878
-10.1,1,25.386763
-10.1,1,25.401406
10.9,1,25.415461
-10.1,1,25.427703
-0.228996,1,25.440784
-10.1,1,25.457567
-10.1,1,25.471178
10.9,1,25.484998
10.9,1,25.501497
-10.1,1,25.516902
10.9,1,25.532205
-0.13121,1,25.549155
-10.1,1,25.568177
-7.1,1,25.58757
10.9,1,25.607073
-0.13161,1,25.620577
10.9,1,25.633622
0.310929,1,25.648499
10.9,1,25.667611
10.9,1,25.683606
-7.1,1,25.68762
-10.1,1,25.703179
10.9,1,25.720608
10.9,1,25.739459
-10.1,1,25.758753
-10.1,1,25.777455
10.9,1,25.796785
-10.1,1,25.819703
-0.257788,1,25.835838
-7.1,1,25.841251
-10.1,1,25.860996
-10.1,1,25.879107
-0.221037,1,25.900602
10.9,1,25.919625
10.9,1,25.941601
10.9,1,25.962505
10.9,1,25.984026
10.9,1,26.00238
10.9,1,26.020617
-7.1,1,26.025125
-10.1,1,26.04163
-10.1,1,26.058022
-10.1,1,26.075735
-10.1,1,26.096178
-10.1,1,26.116554
-10.1,1,26.136521
-10.1,1,26.155788
-7.1,1,26.159802
10.9,1,26.181403
10.9,1,26.202779
10.9,1,26.224578
10.9,1,26.253726
-10.1,1,26.270859
-0.245834,1,26.289199
-10.1,1,26.306494
10.9,1,26.323529
10.9,1,26.338227
-10.1,1,26.350899
10.9,1,26.368279
-10.1,1,26.384212
-10.1,1,26.402257
10.9,1,26.418869
-7.1,1,26.422882
-10.1,1,26.435925
-10.1,1,26.457142
-10.1,1,26.473286
-7.1,1,26.476401
10.9,1,26.493531
10.9,1,26.51084
-10.1,1,26.527293
-10.1,1,26.544801
10.9,1,26.560696
-10.1,1,26.57299
10.9,1,26.589976
-10.1,1,26.60233
-0.210289,1,26.612356
-10.1,1,26.626101
10.9,1,26.638634
-10.1,1,26.655358
10.9,1,26.669003
-10.1,1,26.68647
-10.1,1,26.703867
-10.1,1,26.718791
-0.202538,1,26.732787
-10.1,1,26.750919
-7.1,1,26.75421
10.9,1,26.767205
10.9,1,26.78221
-10.1,1,26.79786
10.9,1,26.811396
10.9,1,26.828869
-10.1,1,26.844498
-10.1,1,26.85306
-0.212371,1,26.877231
-10.1,1,26.896
-10.1,1,26.916053
-10.1,1,26.935988
-7.1,1,26.940057
-10.1,1,26.955012
-7.1,1,26.957765
-10.1,1,26.97184
-10.1,1,26.987817
-10.1,1,27.004165
-10.1,1,27.017837
-10.1,1,27.029597
10.9,1,27.044741
-10.1,1,27.052981
-10.1,1,27.076778
-10.1,1,27.090847
-10.1,1,27.107888
-10.1,1,27.123323
-7.1,1,27.126345
10.9,1,27.134675
-10.1,1,27.152138
10.9,1,27.167203
-7.1,1,27.172771
-0.23278,1,27.185132
-10.1,1,27.202895
-0.196391,1,27.219396
10.9,1,27.233505
-1.5e-05,1,27.240683
-7.1,1,27.253774
10.9,1,27.268223
-10.1,1,27.279433
-10.1,1,27.285684
-10.1,1,27.310843
10.9,1,27.328234
10.9,1,27.336066
10.9,1,27.357701
-10.1,1,27.368325
-10.1,1,27.384058
-7.1,1,27.387032
-10.1,1,27.387032
10.9,1,27.413132
-10.1,1,27.420481
-0.124958,1,27.436389
-10.1,1,27.451511
10.9,1,27.468879
-10.1,1,27.468879
-10.1,1,27.491033
0.026092,1,27.501707
-10.1,1,27.515254
10.9,1,27.530813
-7.1,1,27.533813
-10.1,1,27.545326
-0.127235,1,27.559952
0.035095,1,27.572395
10.9,1,27.58816
-10.1,1,27.602943
-10.1,1,27.621227
-10.1,1,27.635751
-10.1,1,27.654047
-7.1,1,27.656909
-10.1,1,27.674617
10.9,1,27.687231
10.9,1,27.701683
-10.1,1,27.712334
0.098206,1,27.723395
-7.1,1,27.727398
-7.1,1,27.730397
10.9,1,27.745435
-10.1,1,27.757433
-10.1,1,27.76837
-0.216431,1,27.76837
-7.1,1,27.76837
-10.1,1,27.785268
-10.1,1,27.803645
10.9,1,27.803645
10.9,1,27.822847
-7.1,1,27.839544
-0.199568,1,27.854201
-10.1,1,27.870879
10.9,1,27.886116
-0.115226,1,27.90163
-10.1,1,27.916427
-0.111227,1,27.932239
10.9,1,27.945668
10.9,1,27.961372
10.9,1,27.977062
-0.125687,1,27.988365
10.9,1,28.002584
-10.1,1,28.002584
-10.1,1,28.020051
10.9,1,28.036902
10.9,1,28.050889
10.9,1,28.054177
10.9,1,28.068653
10.9,1,28.094075
10.9,1,28.10995
10.9,1,28.127854
-10.1,1,28.145794
-10.1,1,28.158312
-7.1,1,28.161311
-10.1,1,28.174102
10.9,1,28.186214
-10.1,1,28.202645
-10.1,1,28.220748
-10.1,1,28.23695
-7.1,1,28.240961
-7.1,1,28.242967
10.9,1,28.256315
10.9,1,28.268755
10.9,1,28.269938
10.9,1,28.288555
-10.1,1,28.302367
-10.1,1,28.317904
-10.1,1,28.318869
-10.1,1,28.340821
-7.1,1,28.342826
10.9,1,28.355391
-10.1,1,28.367423
-10.1,1,28.382126
10.9,1,28.386822
10.9,1,28.402854
10.9,1,28.420984
10.9,1,28.43303
-10.1,1,28.451322
-7.1,1,28.453481
-10.1,1,28.468846
-10.1,1,28.485481
10.9,1,28.50289
-7.1,1,28.50289
-10.1,1,28.517974
10.9,1,28.519038
10.9,1,28.538887
-10.1,1,28.548906
-7.1,1,28.552283
-10.1,1,28.552283
10.9,1,28.571747
-7.1,1,28.579772
-7.1,1,28.581777
-10.1,1,28.595465
-10.1,1,28.607044
-10.1,1,28.622701
-10.1,1,28.63273
10.9,1,28.643971
-10.1,1,28.652368
10.9,1,28.652368
10.9,1,28.669082
-10.1,1,28.686868
10.9,1,28.686868
10.9,1,28.703075
10.9,1,28.703075
-10.1,1,28.732197
-7.1,1,28.735704
10.9,1,28.752274
-10.1,1,28.764299
10.9,1,28.771678
-10.1,1,28.786179
-0.234425,1,28.801283
-10.1,1,28.812657
-10.1,1,28.820098
-10.1,1,28.834422
-10.1,1,28.845965
-7.1,1,28.847969
10.9,1,28.865111
-10.1,1,28.878861
-10.1,1,28.890064
10.9,1,28.900717
-10.1,1,28.916248
10.9,1,28.931119
-10.1,1,28.94847
-10.1,1,28.964587
-0.07053,1,28.981075
10.9,1,28.997087
-10.1,1,29.014647
-10.1,1,29.031649
10.9,1,29.052546
-7.1,1,29.055575
10.9,1,29.070672
-7.1,1,29.074672
10.9,1,29.090131
10.9,1,29.106959
10.9,1,29.123597
-10.1,1,29.139182
-10.1,1,29.151215
-10.1,1,29.164926
10.9,1,29.171894
-0.214413,1,29.188648
10.9,1,29.204617
-10.1,1,29.225026
-10.1,1,29.239163
10.9,1,29.253013
-0.240251,1,29.269817
-10.1,1,29.287683
-10.1,1,29.342927
10.9,1,29.376093
10.9,1,29.399891
-10.1,1,29.418184
10.9,1,29.438463
-7.1,1,29.442032
10.9,1,29.458704
10.9,1,29.474715
-10.1,1,29.489511
-10.1,1,29.5057
10.9,1,29.526359
-7.1,1,29.536935
10.9,1,29.555188
10.9,1,29.566966
10.9,1,29.569746
10.9,1,29.593559
-10.1,1,29.607235
10.9,1,29.621576
10.9,1,29.635621
-7.1,1,29.637106
10.9,1,29.653715
-10.1,1,29.671938
-10.1,1,29.688137
-10.1,1,29.703796
10.9,1,29.721885
-7.1,1,29.726296
-7.1,1,29.73101
10.9,1,29.748448
10.9,1,29.768245
-0.169564,1,29.788932
-7.1,1,29.808042
0.114376,1,29.826223
10.9,1,29.844457
-0.223743,1,29.862502
-7.1,1,29.866116
-0.069376,1,29.887431
-10.1,1,29.90198
-0.105684,1,29.916074
10.9,1,29.933363
-10.1,1,29.948351
10.9,1,29.961724
10.9,1,29.979332
10.9,1,29.995828
-10.1,1,30.012285
10.9,1,30.028832
-10.1,1,30.045009
-10.1,1,30.060561
10.9,1,30.075193
10.9,1,30.088966
-10.1,1,30.108789
10.9,1,30.127355
-10.1,1,30.146921
-7.1,1,30.150944
-10.1,1,30.173043
-10.1,1,30.192991
10.9,1,30.212668
-10.1,1,30.232227
10.9,1,30.25563
10.9,1,30.273599
-10.1,1,30.292679
10.9,1,30.312865
10.9,1,30.329938
-10.1,1,30.347994
-10.1,1,30.36753
-10.1,1,30.385744
10.9,1,30.400181
-7.1,1,30.405835
10.9,1,30.421532
-10.1,1,30.437429
-10.1,1,30.455415
10.9,1,30.472845
10.9,1,30.49347
-10.1,1,30.516438
-7.1,1,30.534878
-10.1,1,30.551714
-7.1,1,30.555757
10.9,1,30.571724
-0.00412,1,30.58911
10.9,1,30.606263
10.9,1,30.626506
-0.246408,1,30.644308
10.9,1,30.661751
-10.1,1,30.679252
-10.1,1,30.694163
10.9,1,30.71173
-10.1,1,30.727298
-10.1,1,30.745678
-0.142726,1,30.761403
-10.1,1,30.77898
10.9,1,30.794663
-10.1,1,30.812208
10.9,1,30.832709
-0.289432,1,30.850236
10.9,1,30.870363
-7.1,1,30.875805
10.9,1,30.89453
-0.208402,1,30.91214
10.9,1,30.925891
-10.1,1,30.944449
-10.1,1,30.95808
10.9,1,30.96985
0.067948,1,30.972737
10.9,1,31.000483
-7.1,1,31.015833
10.9,1,31.029897
10.9,1,31.04397
10.9,1,31.061868
-10.1,1,31.081212
-10.1,1,31.097876
-0.178292,1,31.115236
-10.1,1,31.127953
-10.1,1,31.138047
10.9,1,31.138047
10.9,1,31.162405
10.9,1,31.174091
-10.1,1,31.185091
10.9,1,31.196996
10.9,1,31.204126
10.9,1,31.226115
10.9,1,31.240096
10.9,1,31.250113
10.9,1,31.263447
-10.1,1,31.279808
-0.285772,1,31.301334
10.9,1,31.314408
-10.1,1,31.328435
0.065746,1,31.340838
-10.1,1,31.356433
-0.261151,1,31.371671
-10.1,1,31.387326
10.9,1,31.40196
-0.085671,1,31.416946
10.9,1,31.431645
-10.1,1,31.445673
-10.1,1,31.461087
-10.1,1,31.476562
-10.1,1,31.491817
-10.1,1,31.509234
10.9,1,31.524937
-7.1,1,31.529142
-10.1,1,31.54527
-10.1,1,31.564845
-10.1,1,31.583273
-7.1,1,31.604185
-10.1,1,31.626361
10.9,1,31.649367
10.9,1,31.666967
-7.1,1,31.668977
10.9,1,31.686424
-7.1,1,31.692672
-10.1,1,31.71039
10.9,1,31.725927
-0.198634,1,31.74443
-10.1,1,31.758417
-0.132265,1,31.772054
-10.1,1,31.779697
10.9,1,31.800647
-7.1,1,31.806349
-10.1,1,31.822121
10.9,1,31.837826
-10.1,1,31.853662
-7.1,1,31.856796
10.9,1,31.869915
-10.1,1,31.88643
10.9,1,31.89898
10.9,1,31.91379
-10.1,1,31.927629
10.9,1,31.943205
10.9,1,31.955132
-0.104527,1,31.965625
-10.1,1,31.981502
-10.1,1,31.996985
-10.1,1,32.010538
10.9,1,32.021259
-10.1,1,32.021259
-10.1,1,32.046922
10.9,1,32.061887
-10.1,1,32.07725
10.9,1,32.092291
-10.1,1,32.106016
-10.1,1,32.106016
-10.1,1,32.122836
-10.1,1,32.14348
-10.1,1,32.156668
-0.30069,1,32.166691
-7.1,1,32.168696
10.9,1,32.183296
-10.1,1,32.200356
10.9,1,32.212163
-10.1,1,32.22558
10.9,1,32.239182
10.9,1,32.257695
-10.1,1,32.268691
10.9,1,32.279954
-7.1,1,32.282954
-10.1,1,32.289274
10.9,1,32.30548
10.9,1,32.322771
-7.1,1,32.322771
10.9,1,32.322771
10.9,1,32.345378
-10.1,1,32.354759
-0.2406,1,32.354759
-10.1,1,32.377799
-10.1,1,32.391138
-10.1,1,32.405565
-10.1,1,32.421535
10.9,1,32.422703
-10.1,1,32.453867
-0.204439,1,32.467213
-10.1,1,32.486044
-7.1,1,32.489028
-0.180881,1,32.505484
0.071686,1,32.522811
-10.1,1,32.54019
-7.1,1,32.542197
10.9,1,32.55427
-10.1,1,32.568052
10.9,1,32.581772
10.9,1,32.595149
10.9,1,32.60662
-10.1,1,32.618627
10.9,1,32.634092
10.9,1,32.649944
10.9,1,32.687298
-10.1,1,32.714118
-10.1,1,32.734144
-0.266467,1,32.750221
-10.1,1,32.767782
10.9,1,32.781036
10.9,1,32.799769
-0.296197,1,32.81594
