#{"t_start": 1765005134.2260592, "env_id": "None"}
r,l,t
10.9,1,7.777218
10.9,1,7.792441
10.9,1,7.808739
-10.1,1,7.823082
-10.1,1,7.83513
-10.1,1,7.851476
-10.1,1,7.86343
-7.1,1,7.867442
-10.1,1,7.880758
10.9,1,7.894747
-0.224028,1,7.911374
10.9,1,7.927025
-10.1,1,7.944165
-7.1,1,7.946867
-10.1,1,7.962513
-10.1,1,7.977958
-10.1,1,7.995355
-10.1,1,8.012103
10.9,1,8.028954
10.9,1,8.046541
-10.1,1,8.064099
-7.1,1,8.066217
-10.1,1,8.081229
-7.1,1,8.100318
-10.1,1,8.121846
10.9,1,8.140939
-10.1,1,8.153855
-10.1,1,8.168826
10.9,1,8.183881
10.9,1,8.198703
-7.1,1,8.201735
-7.1,1,8.203732
-10.1,1,8.219251
10.9,1,8.236753
-10.1,1,8.31248
-10.1,1,8.331935
-10.1,1,8.367826
10.9,1,8.383051
10.9,1,8.399137
-10.1,1,8.415272
10.9,1,8.433903
-7.1,1,8.440427
-10.1,1,8.46259
-10.1,1,8.482435
10.9,1,8.500712
-7.1,1,8.505182
10.9,1,8.524348
10.9,1,8.543232
10.9,1,8.560818
-0.009387,1,8.575908
-7.1,1,8.5814
10.9,1,8.599531
-10.1,1,8.619036
10.9,1,8.623489
-10.1,1,8.65496
-10.1,1,8.671712
-7.1,1,8.675321
-0.240414,1,8.691566
-10.1,1,8.708578
-10.1,1,8.723111
10.9,1,8.74014
-7.1,1,8.741139
10.9,1,8.758833
-0.24594,1,8.758833
-7.1,1,8.774689
-7.1,1,8.777089
-10.1,1,8.794756
-7.1,1,8.796766
-7.1,1,8.800787
10.9,1,8.817401
-10.1,1,8.831908
-10.1,1,8.841501
10.9,1,8.858016
0.019402,1,8.872474
-0.216179,1,8.889026
10.9,1,8.905842
-7.1,1,8.908603
-10.1,1,8.926311
-10.1,1,8.939242
10.9,1,8.955167
-10.1,1,8.97033
-0.114669,1,8.976105
10.9,1,9.001856
10.9,1,9.017848
-10.1,1,9.031502
-0.241691,1,9.044681
-7.1,1,9.047677
-10.1,1,9.066227
-10.1,1,9.079151
-10.1,1,9.090537
-10.1,1,9.106152
10.9,1,9.122904
10.9,1,9.139251
-10.1,1,9.14972
-10.1,1,9.156287
-0.271339,1,9.178971
-0.229689,1,9.194666
-10.1,1,9.207591
-0.212275,1,9.220206
10.9,1,9.231781
0.061679,1,9.240466
-10.1,1,9.262094
10.9,1,9.278568
-7.1,1,9.282568
-10.1,1,9.300201
10.9,1,9.31571
-10.1,1,9.330142
-10.1,1,9.342962
-10.1,1,9.359413
10.9,1,9.376888
-10.1,1,9.389503
10.9,1,9.402343
10.9,1,9.417941
-10.1,1,9.433733
-0.204337,1,9.450486
-10.1,1,9.465393
-10.1,1,9.478515
-7.1,1,9.481517
0.258196,1,9.496302
10.9,1,9.50864
-7.1,1,9.511945
-10.1,1,9.529805
10.9,1,9.547064
-10.1,1,9.56548
10.9,1,9.581165
-10.1,1,9.589995
10.9,1,9.609125
-10.1,1,9.623189
10.9,1,9.63836
10.9,1,9.654005
-10.1,1,9.667148
-10.1,1,9.673228
-0.094573,1,9.673228
10.9,1,9.690988
-0.078335,1,9.706492
-0.264578,1,9.72551
10.9,1,9.740953
10.9,1,9.756493
10.9,1,9.756493
0.286892,1,9.774374
-10.1,1,9.791184
-10.1,1,9.807155
-10.1,1,9.823949
10.9,1,9.839059
10.9,1,9.842026
-7.1,1,9.842026
-10.1,1,9.86278
-10.1,1,9.873163
10.9,1,9.87494
-10.1,1,9.889993
-0.288796,1,9.907753
-10.1,1,9.923195
-10.1,1,9.933048
10.9,1,9.947928
-10.1,1,9.958948
10.9,1,9.974633
-10.1,1,9.987719
10.9,1,9.999684
10.9,1,10.011909
10.9,1,10.0274
-10.1,1,10.038793
10.9,1,10.052826
10.9,1,10.068433
10.9,1,10.080478
-10.1,1,10.091372
10.9,1,10.103143
-10.1,1,10.115255
0.255776,1,10.126903
-0.248975,1,10.141188
-10.1,1,10.15545
-7.1,1,10.158954
-10.1,1,10.172954
10.9,1,10.175403
0.247725,1,10.19153
10.9,1,10.208424
-10.1,1,10.219488
-7.1,1,10.232121
10.9,1,10.24143
10.9,1,10.260364
10.9,1,10.271341
10.9,1,10.281901
-10.1,1,10.294116
10.9,1,10.305379
10.9,1,10.320137
-7.1,1,10.322138
-10.1,1,10.334086
-10.1,1,10.343456
10.9,1,10.343456
-10.1,1,10.36797
-10.1,1,10.381262
10.9,1,10.391618
-7.1,1,10.391618
10.9,1,10.391618
10.9,1,10.417282
10.9,1,10.426378
-10.1,1,10.442434
10.9,1,10.45048
10.9,1,10.45772
-10.1,1,10.47539
-10.1,1,10.491285
10.9,1,10.508295
10.9,1,10.524364
-10.1,1,10.540227
-7.1,1,10.543892
-10.1,1,10.559308
-10.1,1,10.571837
-7.1,1,10.575864
-10.1,1,10.587766
-0.253775,1,10.601748
-10.1,1,10.616679
-0.080168,1,10.628724
10.9,1,10.641891
-10.1,1,10.657886
10.9,1,10.672112
-0.219475,1,10.688135
-10.1,1,10.703867
-7.1,1,10.707154
0.048884,1,10.722481
-0.054404,1,10.743211
-0.214328,1,10.762407
10.9,1,10.778299
-10.1,1,10.794985
-10.1,1,10.814987
-10.1,1,10.834229
10.9,1,10.842468
-7.1,1,10.848674
10.9,1,10.863325
10.9,1,10.87587
10.9,1,10.892621
-7.1,1,10.892621
10.9,1,10.908185
-0.097332,1,10.922039
-7.1,1,10.926725
-10.1,1,10.946403
-10.1,1,10.962694
-10.1,1,10.976694
10.9,1,10.995092
-7.1,1,10.999087
-0.216172,1,11.016177
-0.222071,1,11.028976
-7.1,1,11.035328
10.9,1,11.054415
10.9,1,11.071672
10.9,1,11.088363
10.9,1,11.10394
-10.1,1,11.120325
-10.1,1,11.133475
0.291612,1,11.14406
-10.1,1,11.15867
-0.20788,1,11.17156
-10.1,1,11.185813
-10.1,1,11.202426
-10.1,1,11.217211
-0.066689,1,11.234503
10.9,1,11.250699
10.9,1,11.270227
-10.1,1,11.290244
-0.255975,1,11.311232
10.9,1,11.331715
10.9,1,11.351925
-0.230748,1,11.374219
